class	class label	textdef	rhea	ec	metacyc
GO:0000150	recombinase activity	Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA.			
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity	Catalysis of the cleavage of the C-O-P bond in the AP site created when DNA glycosylase removes a damaged base, involved in the DNA base excision repair pathway (BER).			
GO:0003909	DNA ligase activity	Catalysis of the formation of a phosphodiester bond between the 3'-hydroxyl group at the end of one DNA chain and the 5'-phosphate group at the end of another. This reaction requires an energy source such as ATP or NAD+.			
GO:0003913	DNA photolyase activity	Catalysis of the repair of a photoproduct resulting from ultraviolet irradiation of two adjacent pyrimidine residues in DNA.		EC:4.1.99	MetaCyc:DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN
GO:0004536	deoxyribonuclease activity	Catalysis of the hydrolysis of ester linkages within deoxyribonucleic acid.			
GO:0004803	transposase activity	Catalysis of the transposition of transposable elements or transposons. Transposases are involved in recombination required for transposition and are site-specific for the transposon/transposable element.			
GO:0008907	integrase activity	Catalysis of the integration of one segment of DNA into another.			
GO:0009008	DNA-methyltransferase activity	Catalysis of the transfer of a methyl group to a DNA molecule.			
GO:0019104	DNA N-glycosylase activity	Catalysis of the removal of damaged bases by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic/apyrimidinic (AP) site.		EC:3.2.2	
GO:0033677	DNA/RNA helicase activity	Catalysis of the reaction: NTP + H2O = NDP + phosphate; this reaction drives the unwinding of a DNA/RNA duplex, i.e. a double helix in which a strand of DNA pairs with a complementary strand of RNA.		EC:2.7.7	
GO:0033820	DNA alpha-glucosyltransferase activity	Catalysis of the transfer of an alpha-D-glucosyl residue from UDP-glucose to a hydroxymethylcytosine residue in DNA.		EC:2.4.1.26	MetaCyc:2.4.1.26-RXN
GO:0033821	DNA beta-glucosyltransferase activity	Catalysis of the transfer of a beta-D-glucosyl residue from UDP-glucose to a hydroxymethylcytosine residue in DNA.		EC:2.4.1.27	MetaCyc:2.4.1.27-RXN
GO:0033958	DNA-deoxyinosine glycosylase activity	Catalysis of the hydrolysis of DNA and polynucleotides, releasing free hypoxanthine.		EC:3.2.2.15	MetaCyc:3.2.2.15-RXN
GO:0033959	deoxyribodipyrimidine endonucleosidase activity	Catalysis of the cleavage of the N-glycosidic bond between the 5'-pyrimidine residue in cyclobutadipyrimidine (in DNA) and the corresponding deoxy-D-ribose residue.		EC:3.2.2.17	MetaCyc:3.2.2.17-RXN
GO:0036310	annealing helicase activity	Catalysis of the ATP-dependent rewinding of single-stranded DNA (ssDNA) to reform base pairs between strands. Often acts on ssDNA bubbles bound by replication protein A (RPA).			
GO:0043336	site-specific telomere resolvase activity	Catalysis of a site-specific breakage and reunion reaction that generates two hairpin telomeres from a replicated telomere substrate. Occurs via a two-step transesterification with a protein-DNA intermediate similar to that used by topoisomerases and site-specific recombinases.			
GO:0044825	retroviral strand transfer activity	Catalysis of the covalent insertion of processed 3'-viral DNA ends into host chromosomal DNA by a trans-esterification reaction.			
GO:0051575	5'-deoxyribose-5-phosphate lyase activity	Catalysis of the beta-elimination of the 5' deoxyribose-5-phosphate at an abasic site in DNA where a DNA-(apurinic or apyrimidinic site) lyase has already cleaved the C-O-P bond 3' to the apurinic or apyrimidinic site.			
GO:0070259	tyrosyl-DNA phosphodiesterase activity	Catalysis of the hydrolysis of phosphotyrosyl groups formed as covalent intermediates (in DNA backbone breakage) between a DNA topoisomerase and DNA.			
GO:0090580	phosphodiesterase activity, acting on 3'-phosphoglycolate-terminated DNA strands	Catalysis of the hydrolytic removal of phosphoglycolate from the 3'-terminus of a 3'-phosphoglycolate-terminated DNA strand.			
GO:0000384	first spliceosomal transesterification activity	Catalysis of the first transesterification reaction of spliceosomal mRNA splicing. The intron branch site adenosine is the nucleophile attacking the 5' splice site, resulting in cleavage at this position. In cis splicing, this is the step that forms a lariat structure of the intron RNA, while it is still joined to the 3' exon.			
GO:0000386	second spliceosomal transesterification activity	Catalysis of the second transesterification reaction of spliceosomal mRNA splicing. Ligation of the two exons occurs via a transesterification reaction where the free 3'-hydroxyl group of the 5' exon is the nucleophile attacking the 3' splice site. Non-expressed sequences are now detached from the exons. In cis splicing, the intron is in a lariat structure.			
GO:0004540	ribonuclease activity	Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA.			
GO:0008173	RNA methyltransferase activity	Catalysis of the transfer of a methyl group from a donor to a nucleoside residue in an RNA molecule.			
GO:0008452	RNA ligase activity	Catalysis of the formation of a phosphodiester bond between a hydroxyl group at the end of one RNA chain and the 5'-phosphate group at the end of another.			
GO:0030597	RNA glycosylase activity	Catalysis of the hydrolysis of N-glycosidic bonds in an RNA molecule.			
GO:0036317	tyrosyl-RNA phosphodiesterase activity	Catalysis of the hydrolysis of a 5' tyrosyl-RNA phosphodiester bond between a protein and RNA. In picornaviruses, this covalent bond connects VPg, a viral-encoded protein essential for RNA replication, to the 5' end of all nascent picornavirus genomes; it is cleaved from viral RNA prior to its engaging in protein synthesis.			
GO:0140101	catalytic activity, acting on a tRNA	Catalytic activity that acts to modify a tRNA.			
GO:0140102	catalytic activity, acting on a rRNA	Catalytic activity that acts to modify a ribosomal RNA.			
GO:0008391	arachidonic acid monooxygenase activity	Catalysis of the incorporation of one atom from molecular oxygen into arachidonic acid and the reduction of the other atom of oxygen to water.			
GO:0008395	steroid hydroxylase activity	Catalysis of the formation of a hydroxyl group on a steroid by incorporation of oxygen from O2.			
GO:0008399	naphthalene hydroxylase activity	Catalysis of the conversion of naphthalene to naphthalene 1,2-oxide.			
GO:0008401	retinoic acid 4-hydroxylase activity	Catalysis of the conversion of retinoic acid to 4-hydroxy-retinoic acid.			
GO:0008403	25-hydroxycholecalciferol-24-hydroxylase activity	Catalysis of the hydroxylation of C-24 of 25-hydroxycholecalciferol (25-hydroxyvitamin D3) to form 24(R),25-dihydroxycholecalciferol.			
GO:0016703	oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of one atom of oxygen (internal monooxygenases or internal mixed function oxidases)	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and one oxygen atom is incorporated into a donor.		EC:1.13.12	
GO:0016709	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from NADH or NADPH and one other donor, and one atom of oxygen is incorporated into one donor.		EC:1.14.13	
GO:0016712	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced flavin or flavoprotein and one other donor, and one atom of oxygen is incorporated into one donor.		EC:1.14.14	
GO:0016713	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced iron-sulfur protein as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced iron-sulfur protein and one other donor, and one atom of oxygen is incorporated into one donor.		EC:1.14.15	
GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced pteridine and one other donor, and one atom of oxygen is incorporated into one donor.		EC:1.14.16	
GO:0016715	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from reduced ascorbate and one other donor, and one atom of oxygen is incorporated into one donor.		EC:1.14.17	
GO:0016716	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen	Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and one atom of oxygen is incorporated into one donor.		EC:1.14.18	
GO:0018597	ammonia monooxygenase activity	Catalysis of the oxidation of alkanes (up to C8) to alcohols and alkenes (up to C5) to epoxides and alcohols in the presence of ammonium ions.	RHEA:27341	EC:1.14.99.39	
GO:0045289	luciferin monooxygenase activity	Catalysis of the generalized reaction: luciferin + O2 = oxidized luciferin + CO2 + light. There may be additional substrates and reactants involved in the reaction. The reaction results in light emission as luciferin returns to the ground state after enzymatic oxidation.			
GO:0071614	linoleic acid epoxygenase activity	Catalysis of an NADPH- and oxygen-dependent reaction that converts linoleic acid to a cis-epoxyoctadecenoic acid.			
GO:0045153	electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity	Enables the directed movement of electrons within the CoQH2-cytochrome c reductase complex.			
GO:0045154	electron transporter, transferring electrons within cytochrome c oxidase complex activity	Enables the directed movement of electrons within the cytochrome c oxidase complex.			
GO:0045155	electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity	Enables the directed movement of electrons from the CoQH2-cytochrome c reductase complex and the cytochrome c oxidase complex.			
GO:0045156	electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity	Enables the directed movement of electrons within the cyclic electron transport pathway of photosynthesis.			
GO:0045157	electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity	Enables the directed movement of electrons within the noncyclic electron transport pathway of photosynthesis.			
GO:0045158	electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity	Enables the directed movement of electrons within the cytochrome b6/f complex of photosystem II.			
GO:0046028	electron transporter, transferring electrons from cytochrome b6/f complex of photosystem II activity	Enables the directed movement of electrons from the cytochrome b6/f complex of photosystem II.			
GO:1903264	nitrate reductase activity involved in anaerobic electron transport chain	Any nitrate reductase activity that is involved in anaerobic electron transport chain.			
GO:0033764	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP, and in which one substrate is a sterol derivative.			
GO:0033765	steroid dehydrogenase activity, acting on the CH-CH group of donors	Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor, and in which one substrate is a sterol derivative.		EC:1.1.1	
GO:0016615	malate dehydrogenase activity	Catalysis of the reversible conversion of pyruvate or oxaloacetate to malate.			
GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP.		EC:1.1.1	
